단지명,주소,층,계약년월,전용면적(㎡),건축년도,거래금액(만원),위도,경도
신명나리,경기도 평택시 비전동 881,14,202408,59.97,1995,"17,800",36.9931272,127.1194389
e편한세상평택용이2단지,경기도 평택시 용이동 738,20,202408,84.91,2017,"33,000",37.0031991,127.1465691
외기노조,경기도 평택시 비전동 산76-17,2,202408,58.86,1985,"11,500",36.9952024,127.1025151
평택효성해링턴플레이스2단지,경기도 평택시 소사동 697,9,202408,72.65,2019,"34,700",36.9874051,127.1296995
비전현대,경기도 평택시 비전동 879-5,8,202408,59.72,1994,"20,000",36.9937759,127.1161204
힐스테이트지제역,경기도 평택시 동삭동 가-,24,202408,84.9542,2020,"69,000",,
서광미소마을,경기도 평택시 안중읍 현화리 841,10,202408,84.567,2005,"24,200",36.9806499,126.9224475
평택비전레이크푸르지오,경기도 평택시 용이동 642,12,202408,84.3221,2019,"50,500",36.9971596,127.1197498
더샵지제역센트럴파크2BL,경기도 평택시 동삭동 388-13,17,202408,59.7656,2020,"40,000",37.0162832,127.0927203
평택역코아루두드림,경기도 평택시 평택동 35-10,6,202408,19.92,2019,"9,000",36.9940211,127.0884303
우림필유,경기도 평택시 비전동 922,11,202408,84.9849,2006,"26,800",37.0010018,127.0904842
지제역더샵센트럴시티,경기도 평택시 지제동 가-,8,202408,64.9377,2022,"64,000",,
서광미소마을,경기도 평택시 안중읍 현화리 841,10,202408,84.567,2005,"24,200",36.9806499,126.9224475
라이프,경기도 평택시 독곡동 464,3,202408,101.85,1992,"25,500",37.0830889,127.0609183
호반써밋고덕국제신도시에듀파크,경기도 평택시 고덕동 2664-2,24,202408,84.6911,2022,"59,000",37.0368028,127.0307857
고덕국제신도시리슈빌레이크파크,경기도 평택시 고덕동 2683-1,1,202408,84.9902,2021,"53,000",37.0364883,127.0353743
시대한우리,경기도 평택시 비전동 874,3,202408,49.585,1995,"16,800",36.9977571,127.1156873
평택비전에듀포레푸르지오,경기도 평택시 용이동 652,24,202408,84.955,2018,"51,000",36.9927558,127.1225496
평택효성해링턴플레이스1단지,경기도 평택시 소사동 670,16,202408,84.772,2019,"41,000",36.9903797,127.1254279
e편한세상지제역,경기도 평택시 동삭동 416,22,202408,74.7074,2022,"51,000",37.0156354,127.0883668
케이씨씨스위첸,경기도 평택시 지산동 1217,5,202408,114.7974,2006,"43,000",37.0799617,127.0689065
평택소사벌푸르지오,경기도 평택시 비전동 970,4,202408,83.68,2019,"38,000",37.0081966,127.1023543
부영1,경기도 평택시 세교동 555,1,202408,49.98,1996,"15,400",37.0031914,127.0858386
힐스테이트송담,경기도 평택시 안중읍 송담리 851,17,202408,59.87,2016,"28,000",36.9770344,126.928543
이충동부영2단지,경기도 평택시 이충동 593,2,202408,49.98,1996,"13,000",37.0619303,127.0676689
평택소사벌반도유보라아이비파크,경기도 평택시 죽백동 720,4,202408,84.8976,2016,"37,000",37.0102463,127.1111016
평택군문1단지주공,경기도 평택시 군문동 370,7,202408,38.91,1999,"16,000",36.9866824,127.0816065
평택청북한양수자인,경기도 평택시 청북읍 옥길리 1150,17,202408,84.9653,2016,"28,500",37.0232655,126.9218229
평택효성해링턴플레이스2단지,경기도 평택시 소사동 697,26,202408,103.744,2019,"51,300",36.9874051,127.1296995
태평,경기도 평택시 고덕면 궁리 75,6,202408,59.91,1995,"14,000",37.0165963,127.0337546
고덕국제신도시아너스,경기도 평택시 고덕동 2461-1,12,202408,59.74,2022,"43,000",37.0439972,127.0235557
고덕국제신도시아너스,경기도 평택시 고덕동 2461-1,12,202408,59.74,2022,"43,000",37.0439972,127.0235557
평택뉴비전엘크루,경기도 평택시 합정동 가-,19,202408,84.8441,2021,"41,000",,
우미린센트럴파크,경기도 평택시 비전동 1031,18,202408,84.9802,2016,"42,000",37.0049771,127.1095656
평택센트럴해링턴플레이스,경기도 평택시 비전동 1089,11,202408,84.9861,2012,"37,800",37.000428,127.1081602
평택센트럴자이3단지,경기도 평택시 동삭동 852,8,202408,59.5419,2019,"34,700",37.0209526,127.1005266
부영사랑으로2단지,경기도 평택시 청북읍 옥길리 1104,3,202408,59.9605,2011,"15,300",37.0177101,126.9134152
평택청북이지더원,경기도 평택시 청북읍 옥길리 1137,9,202408,75.8279,2016,"29,200",37.0223868,126.916985
시대한우리,경기도 평택시 비전동 874,7,202408,35.743,1995,"11,500",36.9977571,127.1156873
부영사랑으로2단지,경기도 평택시 청북읍 옥길리 1104,15,202408,59.9605,2011,"15,050",37.0177101,126.9134152
e편한세상비전센터포레,경기도 평택시 용이동 641,22,202408,84.4777,2022,"50,000",36.9996202,127.1265294
현대(지산),경기도 평택시 지산동 1089,3,202408,50.46,1992,"10,000",37.0786194,127.0627445
평택효성해링턴플레이스2단지,경기도 평택시 소사동 697,14,202408,59.875,2019,"29,800",36.9874051,127.1296995
평택효성해링턴플레이스2단지,경기도 평택시 소사동 697,14,202408,59.875,2019,"29,800",36.9874051,127.1296995
우림,경기도 평택시 안중읍 금곡리 337-3,17,202408,49.973,1999,"11,200",36.9933025,126.9524699
평택장안마을코오롱하늘채,경기도 평택시 장안동 619,7,202408,84.9448,2013,"32,000",37.0591088,127.0791805
참이슬,경기도 평택시 합정동 870,7,202408,124.9895,1999,"30,400",36.9899781,127.1183375
성원,경기도 평택시 안중읍 현화리 825-1,11,202408,59.5159,2002,"18,000",36.9835432,126.9201125
고덕국제신도시대광로제비앙THEART,경기도 평택시 고덕동 2664-1,4,202408,84.9656,2022,"53,000",37.0364546,127.03284
현대(이충),경기도 평택시 이충동 381,5,202408,84.58,1992,"29,000",37.0532831,127.0576266
평택지제역동문굿모닝힐맘시티1단지,경기도 평택시 칠원동 542,8,202408,84.9718,2019,"38,500",37.0266355,127.1023814
